title,description,content,source,text,sentiment,topic,topic_name,fake_news_prediction
Energy supply fears rock markets as Mojtaba Khamenei named Iran's new supreme leader - BBC,"UK Chancellor Rachel Reeves will join an emergency meeting of G7 finance ministers later to discuss oil prices. Meanwhile, 32 civilians are injured by an Iranian drone attack on Bahrain.","Ghoncheh HabibiazadSenior reporter, BBC Persian
A little earlier I asked three residents of the capital, Tehran, all men in their 30s, how they feel about the appointment of Mojtaba Khamenei as the … [+899 chars]",BBC News,"Energy supply fears rock markets as Mojtaba Khamenei named Iran's new supreme leader - BBC UK Chancellor Rachel Reeves will join an emergency meeting of G7 finance ministers later to discuss oil prices. Meanwhile, 32 civilians are injured by an Iranian drone attack on Bahrain.",-0.5106,2,Sports,Real
World shares tumble as Iran war pushes crude prices over $110 a barrel - AP News,Japan's benchmark Nikkei 225 index plunged more than 5% after oil prices soared to well over $100 a barrel due to disruptions from the war in the Middle East. South Korea’s Kospi sank 6.2% and other Asian benchmarks also tumbled. Crude prices have jumped more…,"BANGKOK (AP) Japans benchmark Nikkei 225 index plunged more than 5% and other Asian markets also tumbled Monday after oil prices soared to nearly $120 a barrel, casting a shadow over economies heavil… [+3690 chars]",Associated Press,World shares tumble as Iran war pushes crude prices over $110 a barrel - AP News Japan's benchmark Nikkei 225 index plunged more than 5% after oil prices soared to well over $100 a barrel due to disruptions from the war in the Middle East. South Korea’s Kospi sank 6.2% and other Asian benchmarks also tumbled. Crude prices have jumped more…,-0.936,2,Sports,Fake
Jai Opetaia Vs. Brandon Glanton Live Results From Las Vegas - Boxing News 24,Jai Opetaia defeated Brandon Glanton by unanimous decision over 12 rounds to claim the inaugural Zuffa cruiserweight title. All three judges scored the fight,Jai Opetaia defeated Brandon Glanton by unanimous decision over 12 rounds to claim the inaugural Zuffa cruiserweight title. All three judges scored the fight 119-106 as Opetaia controlled range with … [+2280 chars],Boxingnews24.com,Jai Opetaia Vs. Brandon Glanton Live Results From Las Vegas - Boxing News 24 Jai Opetaia defeated Brandon Glanton by unanimous decision over 12 rounds to claim the inaugural Zuffa cruiserweight title. All three judges scored the fight,-0.6908,2,Sports,Fake
It's the worst day for Australian stock markets since 2020 - investingLive,"Today is now worse than Liberation Day for Australian stock markets. . The ASX 200 is down 4.3%, breaking the April 7, 2025 drop of 4.","Today is now worse than Liberation Day for Australian stock markets.
The ASX 200 is down 4.3%, breaking the April 7, 2025 drop of 4.2%. In March 2020, it had drops of 9.7% and 7.4% which were the wo… [+1433 chars]",Investinglive.com,"It's the worst day for Australian stock markets since 2020 - investingLive Today is now worse than Liberation Day for Australian stock markets. . The ASX 200 is down 4.3%, breaking the April 7, 2025 drop of 4.",-0.8519,3,Economy,Fake
"Dow futures tumble over 1,000 points as U.S. oil nears $120 a barrel to begin the week's trading: Live updates - CNBC",The Dow recorded its worst week since President Trump unveiled his tariff policy in April.,"Stock futures were plunging to start the week's trading as U.S. oil prices neared $120 a barrel amid the U.S.-Iran conflict, raising fears higher energy prices could dramatically slow the U.S. econom… [+2540 chars]",CNBC,"Dow futures tumble over 1,000 points as U.S. oil nears $120 a barrel to begin the week's trading: Live updates - CNBC The Dow recorded its worst week since President Trump unveiled his tariff policy in April.",-0.6249,2,Sports,Fake
Nepal election 2026 results - follow live - BBC,"The Rastriya Swatantra Party (RSP) is dominating the count, with Shah on course to be prime minister.","Azadeh MoshiriSouth Asia Correspondent
Balendra Shah - more commonly known as Balen - is a former rapper who, until January, was the mayor of capital Kathmandu.
His songs have featured prominently … [+1003 chars]",BBC News,"Nepal election 2026 results - follow live - BBC The Rastriya Swatantra Party (RSP) is dominating the count, with Shah on course to be prime minister.",0.128,3,Economy,Fake
US begins large military drill with South Korea while waging war in the Middle East - AP News,"The United States has begun a large military exercise with South Korea involving thousands of troops while also waging an escalating war in the Middle East. The Freedom Shield exercise that began Monday runs through March 19. South Korea has said about 18,000…","SEOUL, South Korea (AP) The United States began a large military exercise with South Korea involving thousands of troops Monday while also waging an escalating war in the Middle East.
South Koreas J… [+2844 chars]",Associated Press,"US begins large military drill with South Korea while waging war in the Middle East - AP News The United States has begun a large military exercise with South Korea involving thousands of troops while also waging an escalating war in the Middle East. The Freedom Shield exercise that began Monday runs through March 19. South Korea has said about 18,000…",-0.2023,2,Sports,Fake
"Sources: Trent McDuffie, Rams reach 4-year, $124M extension - ESPN","The Los Angeles Rams and All-Pro cornerback Trent McDuffie reached agreement on a record four-year, $124 million extension that includes $100 million guaranteed, sources told ESPN's Adam Schefter on Sunday night.","LOS ANGELES -- The Rams and star cornerback Trent McDuffie reached agreement Sunday on a record four-year, $124 million extension that includes $100 million guaranteed, sources told ESPN's Adam Schef… [+2444 chars]",ESPN,"Sources: Trent McDuffie, Rams reach 4-year, $124M extension - ESPN The Los Angeles Rams and All-Pro cornerback Trent McDuffie reached agreement on a record four-year, $124 million extension that includes $100 million guaranteed, sources told ESPN's Adam Schefter on Sunday night.",0.5719,0,Politics,Fake
"Jesse Jackson Jr. rebukes Obama, Clinton, and Biden for not truly knowing his father during memorial service - Fox News","Jesse Jackson Jr. rips former presidents Biden, Obama and Clinton at his father's funeral saying ""They do not know Jesse Jackson.""","During his fathers memorial service on Saturday
, Jesse Jackson Jr. offered a sharp rebuke of the tributes given by former Democratic presidents Bill Clinton, Barack Obama and Joe Biden, noting that… [+2992 chars]",Fox News,"Jesse Jackson Jr. rebukes Obama, Clinton, and Biden for not truly knowing his father during memorial service - Fox News Jesse Jackson Jr. rips former presidents Biden, Obama and Clinton at his father's funeral saying ""They do not know Jesse Jackson.""",-0.6002,0,Politics,Fake
Everything Dawn Staley said after South Carolina women's basketball loss in the SEC Championship - On3,South Carolina women's basketball head coach Dawn Staley spoke to the media after the Gamecocks lost to Texas in the SEC Championship.,"South Carolina womens basketball head coach Dawn Staley spoke to the media after the Gamecocks lost to Texas in the SEC Championship.
Here is everything she had to say.
Dawn, I know you dont like t… [+4726 chars]",On3.com,Everything Dawn Staley said after South Carolina women's basketball loss in the SEC Championship - On3 South Carolina women's basketball head coach Dawn Staley spoke to the media after the Gamecocks lost to Texas in the SEC Championship.,0.296,2,Sports,Fake
